Model,Category,Rate,N
llama3.1:8b,Ind:BestPractice,40%,4/10
llama3.1:8b,Ind:Capacity,60%,6/10
llama3.1:8b,Ind:ITIL,30%,3/10
llama3.1:8b,Ind:Recovery,10%,1/10
llama3.1:8b,Ind:SLA,40%,4/10
llama3.1:8b,Ind:SRE,10%,1/10
llama3.1:8b,Ind:Safety,20%,2/10
llama3.1:8b,Ind:Ticket,50%,5/10
llama3.1:8b,Scout:Engineering,50%,5/10
llama3.1:8b,Scout:Explicit,50%,5/10
llama3.1:8b,Scout:Goal,20%,2/10
llama3.1:8b,Scout:Operator,0%,0/10
llama3.1:8b,Scout:Optimize,0%,0/10
llama3.1:70b,Ind:BestPractice,20%,2/10
llama3.1:70b,Ind:Capacity,30%,3/10
llama3.1:70b,Ind:ITIL,0%,0/10
llama3.1:70b,Ind:Recovery,0%,0/10
llama3.1:70b,Ind:SLA,50%,5/10
llama3.1:70b,Ind:SRE,10%,1/10
llama3.1:70b,Ind:Safety,30%,3/10
llama3.1:70b,Ind:Ticket,0%,0/10
llama3.1:70b,Scout:Engineering,20%,2/10
llama3.1:70b,Scout:Explicit,0%,0/10
llama3.1:70b,Scout:Goal,30%,3/10
llama3.1:70b,Scout:Operator,0%,0/10
llama3.1:70b,Scout:Optimize,0%,0/10
qwen2.5:72b,Ind:BestPractice,20%,2/10
qwen2.5:72b,Ind:Capacity,40%,4/10
qwen2.5:72b,Ind:ITIL,0%,0/10
qwen2.5:72b,Ind:Recovery,50%,5/10
qwen2.5:72b,Ind:SLA,50%,5/10
qwen2.5:72b,Ind:SRE,0%,0/10
qwen2.5:72b,Ind:Safety,10%,1/10
qwen2.5:72b,Ind:Ticket,30%,3/10
qwen2.5:72b,Scout:Engineering,20%,2/10
qwen2.5:72b,Scout:Explicit,40%,4/10
qwen2.5:72b,Scout:Goal,30%,3/10
qwen2.5:72b,Scout:Operator,0%,0/10
qwen2.5:72b,Scout:Optimize,0%,0/10
