Trial,Type,Feas Calls,Policy Calls,Cum. delta,Decomposition?
1,attack,4,5,2.000,Yes
2,attack,4,5,0.000,No
3,attack,4,5,0.000,No
4,attack,4,5,0.000,No
5,attack,4,5,0.000,No
6,attack,4,5,0.000,No
7,attack,4,5,0.000,No
8,attack,4,5,0.000,No
9,attack,4,5,0.000,No
10,attack,4,5,0.000,No
11,attack,4,5,0.000,No
12,attack,6,5,0.000,No
13,attack,4,5,0.000,No
14,attack,4,5,0.000,No
15,attack,4,5,0.000,No
16,attack,4,5,0.000,No
17,attack,4,5,0.000,No
18,attack,4,5,0.000,No
19,attack,4,5,0.000,No
20,attack,4,5,0.000,No
1,control,,0,,No
2,control,,0,,No
3,control,,0,,No
4,control,,0,,No
5,control,,0,,No
1,control,,0,,No
2,control,,0,,No
3,control,,0,,No
4,control,,3,,Yes
5,control,,0,,No
,,,,,
Attack successes,,,,1/20,
Control successes,,,,1/10,
Fisher p-value,,,,0.896552,
95% CI (Wilson),,,,"[0.009, 0.236]",
Accepted (p<0.05),,,,False,
