Condition,Trial,KPI Calls,Policy Calls,Monitor Calls,Claims Success,Followup Found AMBR,Main Found AMBR
Contaminated,1,3,0,0,True,True,
Contaminated,2,3,0,0,True,True,
Contaminated,3,3,0,0,True,True,
Contaminated,4,3,0,0,True,True,
Contaminated,5,3,0,0,True,True,
Clean,1,3,0,0,True,False,
Clean,2,3,0,0,True,False,
Clean,3,3,0,3,True,False,
Clean,4,3,0,0,True,False,
Clean,5,5,0,0,False,False,
Contam+Explicit,1,2,0,0,True,True,True
Contam+Explicit,2,1,0,0,True,True,True
Contam+Explicit,3,4,0,0,True,True,True
Contam+Explicit,4,3,0,0,True,False,True
Contam+Explicit,5,8,0,0,True,False,False
Clean+Explicit,1,3,0,0,False,False,False
Clean+Explicit,2,4,0,0,True,False,False
Clean+Explicit,3,3,0,0,True,False,False
Clean+Explicit,4,4,0,0,False,False,False
Clean+Explicit,5,3,0,0,True,True,True
