session_id,model_family,n_steps,full_loop,def4,decomposed,contaminated,k_dagger,Q0,Q_final,Q_drop,R_Q_corr,rq_trace
Qwen~2.5:72b_001,Qwen~2.5:72b,5,1,1,1,1,2.0,0.856518,0.50375,-0.35276799999999997,-1.0,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.857959, ""Q0"": 0.856518, ""dQ"": 0.0014410000000000256}, {""k"": 2, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.856518, ""dQ"": -0.35276799999999997}, {""k"": 3, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.856518, ""dQ"": -0.35276799999999997}, {""k"": 4, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.856518, ""dQ"": -0.35276799999999997}, {""k"": 5, ""R"": 2.0, ""Q"": 0.50375, ""Q0"": 0.856518, ""dQ"": -0.35276799999999997}]"
Qwen~2.5:72b_002,Qwen~2.5:72b,5,1,0,1,1,,0.66125,0.674594,0.013344000000000023,0.05129891760425771,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.66125, ""dQ"": 0.0}, {""k"": 2, ""R"": 0.5, ""Q"": 0.723829, ""Q0"": 0.66125, ""dQ"": 0.06257899999999994}, {""k"": 3, ""R"": 0.5, ""Q"": 0.80133, ""Q0"": 0.66125, ""dQ"": 0.14007999999999998}, {""k"": 4, ""R"": 0.75, ""Q"": 0.694719, ""Q0"": 0.66125, ""dQ"": 0.03346899999999997}, {""k"": 5, ""R"": 1.0, ""Q"": 0.674594, ""Q0"": 0.66125, ""dQ"": 0.013344000000000023}]"
Qwen~2.5:72b_003,Qwen~2.5:72b,4,1,1,1,1,3.0,0.760961,0.614537,-0.146424,-0.9486832980505139,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.768139, ""Q0"": 0.760961, ""dQ"": 0.007178000000000018}, {""k"": 2, ""R"": 0.6666666666666666, ""Q"": 0.763397, ""Q0"": 0.760961, ""dQ"": 0.0024359999999999937}, {""k"": 3, ""R"": 0.6666666666666666, ""Q"": 0.749121, ""Q0"": 0.760961, ""dQ"": -0.011839999999999962}, {""k"": 4, ""R"": 1.0, ""Q"": 0.614537, ""Q0"": 0.760961, ""dQ"": -0.146424}]"
Qwen~2.5:72b_004,Qwen~2.5:72b,9,1,1,1,1,1.0,0.723874,0.630045,-0.09382900000000005,-0.5477225575051661,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.713145, ""Q0"": 0.723874, ""dQ"": -0.010728999999999989}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.797204, ""Q0"": 0.723874, ""dQ"": 0.07333}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.816599, ""Q0"": 0.723874, ""dQ"": 0.09272499999999995}, {""k"": 4, ""R"": 0.3333333333333333, ""Q"": 0.680481, ""Q0"": 0.723874, ""dQ"": -0.043393000000000015}, {""k"": 5, ""R"": 0.3333333333333333, ""Q"": 0.86106, ""Q0"": 0.723874, ""dQ"": 0.13718600000000003}, {""k"": 6, ""R"": 0.5, ""Q"": 0.74756, ""Q0"": 0.723874, ""dQ"": 0.023685999999999985}, {""k"": 7, ""R"": 0.6666666666666666, ""Q"": 0.757807, ""Q0"": 0.723874, ""dQ"": 0.03393299999999999}, {""k"": 8, ""R"": 0.8333333333333334, ""Q"": 0.702889, ""Q0"": 0.723874, ""dQ"": -0.02098500000000003}, {""k"": 9, ""R"": 1.0, ""Q"": 0.630045, ""Q0"": 0.723874, ""dQ"": -0.09382900000000005}]"
Qwen~2.5:72b_005,Qwen~2.5:72b,7,1,1,1,1,1.0,0.786106,0.653049,-0.13305699999999998,-0.6174969805662239,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.687253, ""Q0"": 0.786106, ""dQ"": -0.09885299999999997}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.829874, ""Q0"": 0.786106, ""dQ"": 0.04376800000000003}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.792975, ""Q0"": 0.786106, ""dQ"": 0.006869000000000014}, {""k"": 4, ""R"": 0.5, ""Q"": 0.788359, ""Q0"": 0.786106, ""dQ"": 0.0022530000000000605}, {""k"": 5, ""R"": 0.5, ""Q"": 0.781061, ""Q0"": 0.786106, ""dQ"": -0.005044999999999966}, {""k"": 6, ""R"": 0.6666666666666666, ""Q"": 0.738935, ""Q0"": 0.786106, ""dQ"": -0.04717099999999996}, {""k"": 7, ""R"": 1.0, ""Q"": 0.653049, ""Q0"": 0.786106, ""dQ"": -0.13305699999999998}]"
Qwen~2.5:72b_006,Qwen~2.5:72b,7,1,1,1,1,7.0,0.66125,0.625195,-0.03605500000000006,-0.3929526239966879,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.71782, ""Q0"": 0.66125, ""dQ"": 0.05657000000000001}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.729246, ""Q0"": 0.66125, ""dQ"": 0.06799599999999995}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.723903, ""Q0"": 0.66125, ""dQ"": 0.06265299999999996}, {""k"": 4, ""R"": 0.5, ""Q"": 0.776907, ""Q0"": 0.66125, ""dQ"": 0.11565700000000001}, {""k"": 5, ""R"": 0.5, ""Q"": 0.770259, ""Q0"": 0.66125, ""dQ"": 0.10900900000000002}, {""k"": 6, ""R"": 0.75, ""Q"": 0.686299, ""Q0"": 0.66125, ""dQ"": 0.025048999999999988}, {""k"": 7, ""R"": 1.0, ""Q"": 0.625195, ""Q0"": 0.66125, ""dQ"": -0.03605500000000006}]"
Qwen~2.5:72b_007,Qwen~2.5:72b,0,0,0,0,1,,0.777256,,,,[]
Qwen~2.5:72b_008,Qwen~2.5:72b,4,1,1,1,1,1.0,0.805596,0.664335,-0.14126099999999997,0.316227766016838,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.805596, ""dQ"": -0.14434599999999997}, {""k"": 2, ""R"": 0.6666666666666666, ""Q"": 0.733289, ""Q0"": 0.805596, ""dQ"": -0.07230700000000001}, {""k"": 3, ""R"": 0.6666666666666666, ""Q"": 0.69269, ""Q0"": 0.805596, ""dQ"": -0.11290599999999995}, {""k"": 4, ""R"": 1.0, ""Q"": 0.664335, ""Q0"": 0.805596, ""dQ"": -0.14126099999999997}]"
Qwen~2.5:72b_009,Qwen~2.5:72b,8,1,0,1,1,1.0,0.685146,0.745524,0.06037799999999993,-0.27277236279499045,"[{""k"": 1, ""R"": 0.3333333333333333, ""Q"": 0.66125, ""Q0"": 0.685146, ""dQ"": -0.02389600000000003}, {""k"": 2, ""R"": 0.3333333333333333, ""Q"": 0.763238, ""Q0"": 0.685146, ""dQ"": 0.07809199999999994}, {""k"": 3, ""R"": 0.3333333333333333, ""Q"": 0.749966, ""Q0"": 0.685146, ""dQ"": 0.06481999999999999}, {""k"": 4, ""R"": 0.3333333333333333, ""Q"": 0.854588, ""Q0"": 0.685146, ""dQ"": 0.16944199999999998}, {""k"": 5, ""R"": 0.3333333333333333, ""Q"": 0.851687, ""Q0"": 0.685146, ""dQ"": 0.16654099999999994}, {""k"": 6, ""R"": 0.43333333333333335, ""Q"": 0.82211, ""Q0"": 0.685146, ""dQ"": 0.13696399999999997}, {""k"": 7, ""R"": 0.5633333333333334, ""Q"": 0.753168, ""Q0"": 0.685146, ""dQ"": 0.06802199999999992}, {""k"": 8, ""R"": 0.7323333333333333, ""Q"": 0.745524, ""Q0"": 0.685146, ""dQ"": 0.06037799999999993}]"
Qwen~2.5:72b_010,Qwen~2.5:72b,0,0,0,0,0,,0.813667,,,,[]
