source,x_label,x,regime,tau_per_ue_mbps,lambda_ms,rho_pct,Q_network,selected_bitrate_mbps,selected_representation,goodput_mbps,initial_delay_s,stall_count,stall_total_s,mean_stall_s,rebuffer_ratio,mos_stalling_component,mos_bitrate_component,initial_delay_penalty,mos_estimate,one_way_delay_ms,Id_delay_impairment,Ie_eff_loss_impairment,R_factor,mos_conversational
E0.4,B_per_ue_mbps,1.17,under,1.125,100.828,0.0,0.2761,0.8,360p,1.125,8.634,0,0.0,0.0,0.0,5.0,1.795,0.867,1.557,50.41,1.21,0.0,91.99,4.385
E0.4,B_per_ue_mbps,3.64,under,3.498,54.518,0.0,0.4511,1.5,480p,3.498,5.201,0,0.0,0.0,0.0,5.0,2.516,0.936,2.355,27.26,0.654,0.0,92.55,4.396
E0.4,B_per_ue_mbps,6.1,over,5.736,114.143,0.0,0.358,3.0,720p,5.736,6.39,0,0.0,0.0,0.0,5.0,3.31,0.912,3.02,57.07,1.37,0.0,91.83,4.381
E0.4,B_per_ue_mbps,8.57,over,5.709,402.939,0.0,0.1427,3.0,720p,5.709,6.709,0,0.0,0.0,0.0,5.0,3.31,0.906,2.999,201.47,7.494,0.0,85.71,4.22
E0.4,B_per_ue_mbps,11.04,over,5.74,406.925,0.0,0.1435,3.0,720p,5.74,6.679,0,0.0,0.0,0.0,5.0,3.31,0.906,3.001,203.46,7.761,0.0,85.44,4.212
E0.4,B_per_ue_mbps,13.51,over,5.849,382.995,0.0,0.1462,3.0,720p,5.849,6.538,0,0.0,0.0,0.0,5.0,3.31,0.909,3.01,191.5,6.158,0.0,87.04,4.26
E0.4,B_per_ue_mbps,15.97,over,6.141,410.11,0.0,0.1535,3.0,720p,6.141,6.272,0,0.0,0.0,0.0,5.0,3.31,0.915,3.028,205.06,7.974,0.0,85.23,4.205
E0.4,B_per_ue_mbps,18.44,over,6.137,338.501,0.0,0.1534,3.0,720p,6.137,6.205,0,0.0,0.0,0.0,5.0,3.31,0.916,3.032,169.25,4.062,0.0,89.14,4.317
E0.4,B_per_ue_mbps,20.91,over,5.962,398.882,0.0,0.149,3.0,720p,5.962,6.438,0,0.0,0.0,0.0,5.0,3.31,0.911,3.017,199.44,7.222,0.0,85.98,4.228
E0.4,B_per_ue_mbps,23.38,over,5.646,399.501,0.188,0.1411,3.0,720p,5.635,6.788,0,0.0,0.0,0.0,5.0,3.31,0.904,2.993,199.75,7.264,3.98,81.96,4.096
E1_victim,ue1_ambr_mbps,5.71,asymmetric,5.434,77.743,0.0,0.4415,3.0,720p,5.434,6.703,0,0.0,0.0,0.0,5.0,3.31,0.906,2.999,38.87,0.933,0.0,92.27,4.391
E1_victim,ue1_ambr_mbps,8.56,asymmetric,5.466,103.304,0.0,0.3784,3.0,720p,5.466,6.689,0,0.0,0.0,0.0,5.0,3.31,0.906,3.0,51.65,1.24,0.0,91.96,4.384
E1_victim,ue1_ambr_mbps,11.42,asymmetric,5.474,132.144,0.0,0.3065,3.0,720p,5.474,6.709,0,0.0,0.0,0.0,5.0,3.31,0.906,2.999,66.07,1.586,0.0,91.61,4.377
E1_victim,ue1_ambr_mbps,17.13,asymmetric,5.445,163.651,,0.227,3.0,720p,5.445,6.775,0,0.0,0.0,0.0,5.0,3.31,0.904,2.994,81.83,1.964,0.0,91.24,4.368
E1_victim,ue1_ambr_mbps,22.84,asymmetric,5.442,198.42,,0.14,3.0,720p,5.442,6.814,0,0.0,0.0,0.0,5.0,3.31,0.904,2.992,99.21,2.381,0.0,90.82,4.359
E1_victim,ue1_ambr_mbps,34.26,asymmetric,5.469,146.776,,0.2698,3.0,720p,5.469,6.729,0,0.0,0.0,0.0,5.0,3.31,0.905,2.997,73.39,1.761,0.0,91.44,4.373
E1_victim,ue1_ambr_mbps,45.68,asymmetric,5.451,157.358,,0.2429,3.0,720p,5.451,6.762,0,0.0,0.0,0.0,5.0,3.31,0.905,2.995,78.68,1.888,0.0,91.31,4.37
E1_victim,ue1_ambr_mbps,68.52,asymmetric,5.473,151.53,,0.258,3.0,720p,5.473,6.729,0,0.0,0.0,0.0,5.0,3.31,0.905,2.997,75.77,1.818,0.0,91.38,4.371
